race,cluster,lsat,ugpa,zfygpa,zgpa,bar1,fulltime,fam_inc,age,gender
7,2,30,3.1,-1.79,NA,,1,4,NA,female
7,1,44,3.5,1.33,1.88,P,1,5,-62,female
7,2,29,3.5,-0.11,-0.57,P,1,4,-62,female
7,3,35,3,1.22,0.95,,2,5,NA,female
7,2,39,2.9,0.88,NA,,2,4,NA,female
7,1,37,3.4,0.63,0.37,P,1,3,-61,male
7,1,43,3.3,0.67,0.34,P,1,4,-60,female
7,2,37,2.6,1.23,0.92,,1,4,NA,male
7,4,41,3.3,-0.67,-1.3,P,1,4,-57,female
2,5,37,NA,NA,-2.01,F,1,4,-58,male
7,3,24.5,2.2,-1.73,-1.34,F,1,4,-59,male
7,3,34,3.3,-0.32,-0.38,F,1,4,-61,female
7,2,35,3.2,-0.92,-0.72,F,1,4,-62,male
7,1,40,2.4,-0.05,-0.03,F,1,3,-49,female
7,2,31,2.9,-1.1,NA,,1,4,NA,female
3,5,37,3.6,NA,0,F,1,3,-62,male
7,1,35,2.9,0.73,0.94,P,1,3,-55,female
3,1,17,3.1,-1.82,NA,,1,2,NA,male
7,5,33,3.3,NA,NA,P,1,4,-60,female
7,1,35,3.3,NA,NA,,1,4,NA,male
7,3,28,2.4,-0.59,-1.49,P,1,3,-46,female
3,6,26,2.5,-3.22,NA,,1,3,NA,male
7,4,32.5,3.2,-0.76,-0.56,P,1,4,-62,female
7,6,32.5,2.4,1.04,1.09,P,1,3,-59,male
3,6,23,2.8,0.56,0.87,P,1,3,-57,female
7,3,37,2.8,-0.23,-0.72,P,1,3,-62,female
7,5,41,3.9,1.08,0.88,P,1,3,-57,female
3,5,40,2.8,-0.69,-0.45,P,1,4,-58,female
7,3,30,3.3,0.58,0.53,P,1,4,-61,female
7,1,40,3.7,0.67,0.4,P,1,4,-63,male
7,3,22,2.7,-1.8,-1.13,P,1,4,-61,male
7,4,48,3.7,1.94,0.98,P,1,4,-62,female
7,3,36,2.9,-0.53,-1.05,F,1,4,-61,female
4,1,36,3.1,-0.67,-0.9,P,1,3,-61,female
3,3,20,2.1,-2.84,NA,,1,2,NA,male
7,3,36,3.5,-0.64,-1.12,P,1,1,-58,male
7,1,45,3,0.64,-0.1,P,1,3,-61,male
7,6,35,2.6,2.4,3.22,P,1,3,-60,male
2,1,27,NA,1.13,0.41,P,1,NA,-53,male
7,3,39,3.3,-0.15,NA,,1,4,NA,male
6,5,47,4,NA,0,P,1,4,-61,female
7,4,36,3.4,-0.6,-1.63,P,1,2,-60,male
2,5,48,3.7,NA,0,P,1,4,-62,female
7,1,46,3.8,1.27,0.87,P,1,4,-67,female
7,4,39,3.1,1.02,0.73,P,2,3,-52,male
3,1,37,3,-0.38,-1.1,,1,2,NA,female
7,5,42,3.8,1.5,NA,,1,4,NA,male
7,3,39,2.7,-0.39,-0.07,P,1,3,-62,female
7,4,39,4,2.88,2.87,P,1,3,-59,female
7,3,38,3,0.14,0.53,P,1,3,-61,female
7,1,32,4,1.68,1.33,P,1,3,-52,male
7,3,39,3.5,0.34,-0.49,P,1,4,-51,male
7,5,41,3.1,NA,NA,P,1,2,-60,male
3,4,29,2.5,-1.08,-1.46,P,1,3,-57,male
7,4,48,3.5,1.02,0.76,P,1,4,-61,male
4,3,27,2.5,-1.4,-1.08,P,1,3,-61,female
3,1,27,3.7,-1.48,NA,,2,NA,NA,male
2,1,31,2.6,-1.04,-1.49,P,1,4,-62,male
7,1,45,3.7,1.51,1.69,P,1,3,-61,female
7,5,36,3.9,-0.45,-0.04,P,1,4,-61,male
2,1,34,2.5,-1.14,-0.93,F,1,4,-60,male
7,1,35,3.8,0.27,-0.98,P,1,3,-60,male
6,4,35,3.1,-0.67,-0.28,P,1,3,-61,male
7,5,36,3.9,-1.5,-2.18,P,1,4,-60,male
7,1,42,3.3,-1.06,-1.13,P,1,3,-60,male
7,1,30,3.7,1.66,1.52,P,1,3,-59,female
7,4,25,3.7,0.6,1.72,P,1,3,-62,female
7,4,31.5,3.6,-0.37,-1.04,P,1,3,-62,female
7,4,28,2.8,-0.93,-1.29,,1,3,NA,male
7,1,40,3.2,0.82,0.72,P,1,5,-61,male
7,5,45,3.7,0.34,NA,P,1,3,-62,male
7,3,40,3.5,-0.64,-0.12,P,1,4,-61,female
7,1,41,3.7,0.44,0.53,P,1,3,-62,female
7,3,34,3.5,0.96,0.45,P,1,3,-62,female
7,1,36,3.8,0.33,NA,,1,3,NA,female
7,1,32,3.5,-1.57,NA,,1,4,NA,male
7,1,39,3.4,0.45,0.22,P,1,4,-62,male
8,4,38,3,-0.45,-0.27,P,1,5,-60,female
7,5,41,3.2,-0.16,-0.19,F,1,5,-59,male
1,2,31,3.3,0.55,0.08,P,1,4,-57,female
7,5,42,3.6,-0.03,-0.28,P,1,3,-66,female
7,3,34,3.2,0.16,0.63,P,1,4,-62,female
7,1,36,3.8,NA,0.94,P,2,3,-64,female
7,3,37,3.5,NA,NA,,1,4,NA,male
7,3,37,3,-0.11,-0.23,P,1,3,-62,male
7,3,42,2.3,0.81,-0.3,P,1,3,-60,male
7,3,36,3.3,0.45,0.23,P,1,4,-62,male
7,3,42,3,1.05,0.62,P,1,3,-62,male
7,3,40,3.5,1.34,1.41,P,2,2,-48,male
7,NA,32,2.1,-0.93,NA,,2,3,NA,male
3,6,29,2.8,0.81,1.37,P,1,2,-60,female
7,3,36,3.3,-0.39,-0.35,P,1,4,-61,male
7,3,36,2.9,0.91,1.2,P,1,4,-42,male
7,3,37,2.7,-0.33,-0.3,P,1,4,-59,female
7,1,35,3.1,0.31,-0.01,P,1,5,-58,female
7,1,41,3.4,-0.38,-0.83,F,1,3,-58,female
7,3,32,3.6,NA,NA,,2,5,NA,female
7,3,42,2.9,0.1,-0.18,P,1,4,-57,male
7,5,33.5,3.4,-0.91,-0.57,P,1,4,-60,female
6,1,32,3,-1.02,-1.33,F,1,3,-65,female
7,2,36,3.7,0.12,-0.13,P,1,4,-62,female
7,5,34.5,3.3,-0.95,-0.8,P,1,4,-60,female
7,2,32,3,-1.26,-1.02,P,1,4,-62,female
7,2,35,3.3,0.91,1.26,P,1,4,-61,male
7,1,34,2.9,1.31,0.64,P,1,2,-61,female
7,2,33,3.3,0.96,NA,,1,3,NA,male
6,6,27,3.1,0.05,-0.68,P,1,2,-61,male
7,4,39,3.4,0.36,1.23,P,2,3,-54,male
7,4,40,3.5,-0.44,-1.01,P,1,4,-61,male
3,6,19.5,2.9,-1.36,NA,,1,1,NA,male
7,2,32,3.9,-0.88,-1.14,P,1,4,-62,male
7,1,41,3,-0.37,-0.19,,2,2,NA,male
7,1,42,3.3,-0.64,-1.1,P,1,3,-51,female
7,4,35,2.9,0.8,1.53,P,2,3,-54,male
3,6,34,2.9,-0.36,-0.08,P,1,2,-63,female
7,1,38,3.2,-0.98,-1.72,P,1,4,-62,female
7,1,39,3.3,0.29,0.78,,1,3,NA,female
7,1,42,3.4,-0.84,-0.93,P,1,3,-56,male
7,1,36,3.5,NA,NA,,2,3,NA,female
7,3,34,3,-1.16,NA,,2,4,NA,female
7,1,38,3.6,-0.4,-0.46,P,1,4,-62,female
7,1,37,3.2,-0.65,-0.59,P,1,3,-61,female
7,5,40,3.6,-2.12,NA,,1,4,NA,male
7,4,43,3.5,-0.42,-0.92,,1,3,NA,male
7,5,41,3.8,0.02,0.33,P,1,3,-60,male
7,3,32,3.1,1.04,0.64,P,1,3,-66,female
7,3,29,2.8,-1.13,-1.49,F,1,4,-48,female
7,1,40,3.4,0.55,1.01,P,1,4,-58,male
7,3,37,2.7,0.61,-0.27,P,1,3,-60,male
7,3,NA,3.6,-0.23,0.39,P,2,1,-55,female
5,5,44,3.4,-0.31,-0.35,P,1,3,-63,female
7,2,41,3.4,0.89,0.94,P,1,4,-51,male
7,5,42,3.8,0.35,0.35,P,1,4,-55,female
7,4,41.5,3.2,0.43,0.73,P,1,3,-58,female
7,3,41,2.9,-1.13,-0.94,P,1,4,-61,male
7,4,40,3.8,-0.41,0.46,P,1,3,-60,male
7,4,28.3,3.1,1.54,-0.82,P,1,2,-55,female
3,4,23.5,3.1,-0.91,-1.55,,2,1,NA,male
7,3,38,2.8,0.2,-1.06,P,1,5,-61,male
7,1,40,3.2,-0.18,-0.39,P,1,4,-62,female
7,1,25,2.6,0.26,-0.09,P,1,3,-55,male
7,1,25,2.7,-0.02,-0.74,P,1,2,-60,male
4,6,28,3.5,0.48,-0.04,F,1,2,-62,female
7,2,33,3.5,-0.84,-1.19,F,1,4,-65,female
4,5,44,3.6,NA,0,P,1,3,-61,female
7,1,36,3.5,0.09,-0.01,P,1,3,-62,female
7,3,48,3.4,0.77,0.74,P,1,3,-62,female
7,2,33,2.7,0.57,NA,,1,2,NA,male
7,3,34.5,3,-0.03,-0.64,P,1,2,-47,male
7,4,38,2.5,NA,NA,F,2,2,-54,male
7,3,41,3.2,-0.02,0.65,P,1,5,-62,male
3,4,25.5,2.6,-1.83,NA,,1,4,NA,female
7,3,34,2.8,0.01,-0.13,P,1,3,-62,female
7,6,24,3.2,0.41,0.32,P,1,3,-44,female
7,3,41,2.8,NA,-1.78,P,1,3,-62,female
7,3,35.5,3.8,1.27,1,P,1,4,-61,male
7,3,33,2,0.3,-0.05,P,1,3,-57,male
7,3,34,3.5,-0.07,-0.38,P,1,NA,-62,male
3,3,28,2.3,-0.16,-0.5,P,1,3,-60,female
7,3,31,3.5,0.3,0.34,P,1,2,-62,female
7,1,41,3.8,0.48,0.35,P,1,3,-63,female
2,1,33.5,2.5,-2.43,NA,,1,2,NA,female
7,4,35.5,3.1,0.14,-0.65,P,1,5,-62,female
3,6,33,2.7,-0.11,NA,,1,3,NA,male
7,2,31,3.7,-0.54,-0.33,F,1,2,-59,female
3,6,24,2.8,-1.68,NA,,1,3,NA,female
7,2,31,3.7,2.06,2.27,,1,4,NA,male
7,3,44,2.1,0.51,0.09,P,1,4,-54,female
7,3,36,3.6,0.45,0.44,P,1,3,-62,female
7,1,36,3.1,-0.25,-0.05,P,1,5,-67,male
7,1,44,3.7,-1.26,-1.42,P,1,3,-60,male
7,4,44,2.7,-1.03,-1.85,P,1,2,-60,male
7,3,32,3,0.37,-0.1,P,1,4,-62,male
7,1,42,3.5,0.09,0.08,P,1,3,-61,male
